Data type:Subtype:Sub-subtype,MESH ID,MeSH Tree No.s,Description,Best Practice,Most suitable repositories
Angiography,D000792,"E01.370.350.700.060, E01.370.370.050",Radiography of blood vessels after injection of a contrast medium.,XX,XX
Calorimetry,D002151,E05.196.131,"The measurement of the quantity of heat involved in various processes, such as chemical reactions, changes of state, and formations of solutions, or in the determination of the heat capacities of substances. The fundamental unit of measurement is the joule or the calorie (4.184 joules). (McGraw-Hill Dictionary of Scientific and Technical Terms, 4th ed)",XX,XX
Chromatography,D002845,E05.196.181,Techniques used to separate mixtures of substances based on differences in the relative affinities of the substances for mobile and stationary phases. A mobile phase (fluid or gas) passes through a column containing a stationary phase of porous solid or liquid coated on a solid support. Usage is both analytical for small amounts and preparative for bulk amounts.,XX,XX
"Chromatography:Chromatography, Affinity",D002846,E05.196.181.400.170,"A chromatographic technique that utilizes the ability of biological molecules, often ANTIBODIES, to bind to certain ligands specifically and reversibly. It is used in protein biochemistry. (McGraw-Hill Dictionary of Scientific and Technical Terms, 4th ed)",XX,XX
"Chromatography:Chromatography, Flash Column",XX,XX,XX,XX,XX
"Chromatography:Chromatography, Gas",D002849,E05.196.181.349,"Fractionation of a vaporized sample as a consequence of partition between a mobile gaseous phase and a stationary phase held in a column. Two types are gas-solid chromatography, where the fixed phase is a solid, and gas-liquid, in which the stationary phase is a nonvolatile liquid supported on an inert solid matrix.",XX,XX
"Chromatography:Chromatography, Gel",D002850,E05.196.181.400.250,Chromatography on non-ionic gels without regard to the mechanism of solute discrimination.,XX,XX
"Chromatography:Chromatography, High Pressure Liquid",D002851,E05.196.181.400.300,"Liquid chromatographic techniques which feature high inlet pressures, high sensitivity, and high speed.",XX,XX
"Chromatography:Chromatography, Ion Exchange",D002852,E05.196.181.400.383,Separation technique in which the stationary phase consists of ion exchange resins. The resins contain loosely held small ions that easily exchange places with other small ions of like charge present in solutions washed over the resins.,Chromatograph data for each run should be preserved in ANDI-MS format (https://www.astm.org/Standards/E1947.htm). Numerical output from downstream analysis of the chromatograph should be shared as Tabular data,"Chromatography data can be added to any repository able to host generic file types (e.g. Dryad <https://datadryad.org/>, Zenodo, <https://zenodo.org/> and FigShare <https://figshare.com/>)"
"Chromatography:Chromatography, Liquid",D002853,E05.196.181.400,Chromatographic techniques in which the mobile phase is a liquid.,XX,XX
